data,nome,codigo,temperatura
2009-07-31,BARBACENA,A502,16.661156
2009-08-31,BARBACENA,A502,16.515025
2009-09-30,BARBACENA,A502,19.398472
2009-10-31,BARBACENA,A502,19.131034
2009-11-30,BARBACENA,A502,21.245
2009-12-31,BARBACENA,A502,20.138575
2010-01-31,BARBACENA,A502,21.647083
2010-02-28,BARBACENA,A502,21.920982
2010-03-31,BARBACENA,A502,20.789516
2010-04-30,BARBACENA,A502,18.572917
2010-05-31,BARBACENA,A502,16.969028
2010-06-30,BARBACENA,A502,14.735344
2010-07-31,BARBACENA,A502,16.039651
2010-08-31,BARBACENA,A502,16.188114
2010-09-30,BARBACENA,A502,17.909444
2010-10-31,BARBACENA,A502,18.258602
2010-11-30,BARBACENA,A502,19.038056
2010-12-31,BARBACENA,A502,21.087097
2011-01-31,BARBACENA,A502,21.177957
2011-02-28,BARBACENA,A502,22.037946
2011-03-31,BARBACENA,A502,19.46425
2011-04-30,BARBACENA,A502,19.11875
2011-05-31,BARBACENA,A502,16.089247
2011-06-30,BARBACENA,A502,14.967222
2011-07-31,BARBACENA,A502,15.802419
2011-08-31,BARBACENA,A502,17.882188
2011-09-30,BARBACENA,A502,17.179583
2011-10-31,BARBACENA,A502,18.117204
2011-11-30,BARBACENA,A502,17.534583
2011-12-31,BARBACENA,A502,19.376408
2012-01-31,BARBACENA,A502,19.49207
2012-02-29,BARBACENA,A502,20.74569
2012-03-31,BARBACENA,A502,19.941275
2012-04-30,BARBACENA,A502,19.262083
2012-05-31,BARBACENA,A502,15.784274
2012-06-30,BARBACENA,A502,16.819589
2012-07-31,BARBACENA,A502,16.079436
2012-08-31,BARBACENA,A502,
2012-09-30,BARBACENA,A502,
2012-10-31,BARBACENA,A502,
2012-11-30,BARBACENA,A502,18.963611
2012-12-31,BARBACENA,A502,22.146236
2013-01-31,BARBACENA,A502,20.043817
2013-02-28,BARBACENA,A502,21.366667
2013-03-31,BARBACENA,A502,20.009339
2013-04-30,BARBACENA,A502,17.61
2013-05-31,BARBACENA,A502,16.54543
2013-06-30,BARBACENA,A502,16.789015
2013-07-31,BARBACENA,A502,15.589247
2013-08-31,BARBACENA,A502,16.652016
2013-09-30,BARBACENA,A502,17.644306
2013-10-31,BARBACENA,A502,17.46074
2013-11-30,BARBACENA,A502,18.724722
2013-12-31,BARBACENA,A502,20.067473
2014-01-31,BARBACENA,A502,21.734812
2014-02-28,BARBACENA,A502,21.265923
2014-03-31,BARBACENA,A502,19.967339
2014-04-30,BARBACENA,A502,18.459583
2014-05-31,BARBACENA,A502,16.69086
2014-06-30,BARBACENA,A502,16.433194
2014-07-31,BARBACENA,A502,15.046774
2014-08-31,BARBACENA,A502,16.313657
2014-09-30,BARBACENA,A502,18.305972
2014-10-31,BARBACENA,A502,18.939651
2014-11-30,BARBACENA,A502,19.279722
2014-12-31,BARBACENA,A502,20.868145
2015-01-31,BARBACENA,A502,22.288575
2015-02-28,BARBACENA,A502,20.564732
2015-03-31,BARBACENA,A502,19.960484
2015-04-30,BARBACENA,A502,18.487639
2015-05-31,BARBACENA,A502,16.22379
2015-06-30,BARBACENA,A502,15.761389
2015-07-31,BARBACENA,A502,16.550403
2015-08-31,BARBACENA,A502,16.668817
2015-09-30,BARBACENA,A502,19.62875
2015-10-31,BARBACENA,A502,20.787097
2015-11-30,BARBACENA,A502,21.056944
2015-12-31,BARBACENA,A502,21.16371
2016-01-31,BARBACENA,A502,20.560618
2016-02-29,BARBACENA,A502,21.773132
2016-03-31,BARBACENA,A502,20.670833
2016-04-30,BARBACENA,A502,20.561806
2016-05-31,BARBACENA,A502,17.080435
2016-06-30,BARBACENA,A502,14.982639
2016-07-31,BARBACENA,A502,16.222446
2016-08-31,BARBACENA,A502,17.06371
2016-09-30,BARBACENA,A502,18.337222
2016-10-31,BARBACENA,A502,18.887839
2016-11-30,BARBACENA,A502,18.885694
2016-12-31,BARBACENA,A502,20.583602
2017-01-31,BARBACENA,A502,21.514651
2017-02-28,BARBACENA,A502,20.585565
2017-03-31,BARBACENA,A502,19.789516
2017-04-30,BARBACENA,A502,18.3375
2017-05-31,BARBACENA,A502,16.431586
2017-06-30,BARBACENA,A502,16.149722
2017-07-31,BARBACENA,A502,13.582527
2017-08-31,BARBACENA,A502,15.735215
2017-09-30,BARBACENA,A502,17.656111
2017-10-31,BARBACENA,A502,20.019355
2017-11-30,BARBACENA,A502,18.692639
2017-12-31,BARBACENA,A502,20.213979
2018-01-31,BARBACENA,A502,20.798118
2018-02-28,BARBACENA,A502,20.006399
2018-03-31,BARBACENA,A502,20.893683
2018-04-30,BARBACENA,A502,18.142361
2018-05-31,BARBACENA,A502,16.450122
2018-06-30,BARBACENA,A502,16.710833
2018-07-31,BARBACENA,A502,16.380108
2018-08-31,BARBACENA,A502,15.899597
2018-09-30,BARBACENA,A502,17.878194
2018-10-31,BARBACENA,A502,19.046505
2018-11-30,BARBACENA,A502,18.831715
2018-12-31,BARBACENA,A502,20.369758
2019-01-31,BARBACENA,A502,22.344489
2019-02-28,BARBACENA,A502,21.466071
2019-03-31,BARBACENA,A502,20.241532
2019-04-30,BARBACENA,A502,20.117778
2019-05-31,BARBACENA,A502,18.576613
2019-06-30,BARBACENA,A502,16.449722
2019-07-31,BARBACENA,A502,15.591639
2019-08-31,BARBACENA,A502,15.805511
2019-09-30,BARBACENA,A502,19.156667
2019-10-31,BARBACENA,A502,19.678629
2019-11-30,BARBACENA,A502,19.466111
2019-12-31,BARBACENA,A502,20.283737
2020-01-31,BARBACENA,A502,20.908871
2020-02-29,BARBACENA,A502,20.212213
2020-03-31,BARBACENA,A502,19.003495
2020-04-30,BARBACENA,A502,17.869722
2020-05-31,BARBACENA,A502,15.680534
2020-06-30,BARBACENA,A502,16.73875
2020-07-31,BARBACENA,A502,16.641532
2020-08-31,BARBACENA,A502,15.944855
2020-09-30,BARBACENA,A502,20.427639
2020-10-31,BARBACENA,A502,19.712903
2020-11-30,BARBACENA,A502,19.206528
2020-12-31,BARBACENA,A502,20.622446
2021-01-31,BARBACENA,A502,21.262903
2021-02-28,BARBACENA,A502,20.019792
2021-03-31,BARBACENA,A502,20.571236
2021-04-30,BARBACENA,A502,17.763611
2021-05-31,BARBACENA,A502,17.147581
2021-06-30,BARBACENA,A502,15.487603
2021-07-31,BARBACENA,A502,14.767865
2021-08-31,BARBACENA,A502,16.444127
2021-09-30,BARBACENA,A502,19.84
2021-10-31,BARBACENA,A502,18.090188
2021-11-30,BARBACENA,A502,18.787639
2021-12-31,BARBACENA,A502,19.183199
2022-01-31,BARBACENA,A502,20.688978
2022-02-28,BARBACENA,A502,19.993331
2022-03-31,BARBACENA,A502,21.111425
2022-04-30,BARBACENA,A502,19.026806
2022-05-31,BARBACENA,A502,16.329199
2022-06-30,BARBACENA,A502,15.615047
2022-07-31,BARBACENA,A502,16.184677
2022-08-31,BARBACENA,A502,15.780338
2022-09-30,BARBACENA,A502,17.225692
2022-10-31,BARBACENA,A502,19.591532
2022-11-30,BARBACENA,A502,17.682639
2022-12-31,BARBACENA,A502,18.992608
2023-01-31,BARBACENA,A502,19.761559
2023-02-28,BARBACENA,A502,21.142464
2023-03-31,BARBACENA,A502,20.731111
2023-04-30,BARBACENA,A502,18.277639
2023-05-31,BARBACENA,A502,16.239306
2023-06-30,BARBACENA,A502,15.468672
2023-07-31,BARBACENA,A502,15.834636
2023-08-31,BARBACENA,A502,17.676747
2023-09-30,BARBACENA,A502,20.037778
2023-10-31,BARBACENA,A502,20.815188
2023-11-30,BARBACENA,A502,21.862778
2003-01-31,CARANGOLA,A503,
2003-02-28,CARANGOLA,A503,
2003-03-31,CARANGOLA,A503,
2003-04-30,CARANGOLA,A503,23.299046
2003-05-31,CARANGOLA,A503,20.818414
2003-06-30,CARANGOLA,A503,20.609201
2003-07-31,CARANGOLA,A503,19.650602
2003-08-31,CARANGOLA,A503,20.286266
2003-09-30,CARANGOLA,A503,22.005114
2003-10-31,CARANGOLA,A503,
2003-11-30,CARANGOLA,A503,24.164861
2003-12-31,CARANGOLA,A503,26.218787
2004-01-31,CARANGOLA,A503,25.587196
2004-02-29,CARANGOLA,A503,25.69805
2004-03-31,CARANGOLA,A503,24.692365
2004-04-30,CARANGOLA,A503,24.791516
2004-05-31,CARANGOLA,A503,23.584455
2004-06-30,CARANGOLA,A503,
2004-07-31,CARANGOLA,A503,
2004-08-31,CARANGOLA,A503,
2004-09-30,CARANGOLA,A503,
2004-10-31,CARANGOLA,A503,
2004-11-30,CARANGOLA,A503,
2004-12-31,CARANGOLA,A503,26.165115
2005-01-31,CARANGOLA,A503,26.890223
2005-02-28,CARANGOLA,A503,25.970445
2005-03-31,CARANGOLA,A503,26.151695
2005-04-30,CARANGOLA,A503,25.724336
2005-05-31,CARANGOLA,A503,23.252554
2005-06-30,CARANGOLA,A503,21.662083
2005-07-31,CARANGOLA,A503,20.820705
2005-08-31,CARANGOLA,A503,23.190694
2005-09-30,CARANGOLA,A503,23.680143
2005-10-31,CARANGOLA,A503,26.850447
